ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal
92,91,85,34,95,65
92,79,78,44,85,82
94,80,87,34,87,75
88,80,97,36,92,77
92,78,87,52,90,90
86,93,76,64,88,78
83,86,91,37,94,63
66,75,78,87,81,83
91,83,70,47,82,83
85,88,88,45,90,88
88,91,88,57,88,89
87,82,88,43,86,69
73,76,65,86,72,90
86,81,76,39,87,77
89,74,84,48,88,86
83,80,91,44,90,77
60,71,78,91,71,84
83,79,91,53,90,85
87,81,90,45,90,75
82,93,87,63,88,88
73,86,70,83,84,79
86,84,86,51,89,90
87,74,84,39,78,83
70,76,70,88,73,84
90,82,72,47,83,83
81,91,53,71,81,68
91,65,89,45,80,88
84,75,89,53,89,87
86,89,75,70,84,77
82,79,91,45,88,66
61,87,64,79,91,67
76,89,73,72,88,66
81,86,83,48,88,69
82,73,86,49,88,87
84,83,67,56,79,71
87,67,86,39,81,77
81,86,71,65,86,83
82,82,81,81,84,86
53,75,81,89,73,81
86,86,84,40,91,60
61,81,84,82,81,76
69,85,81,77,88,78
68,88,79,80,80,72
38,65,61,88,67,88
89,75,71,33,87,69
83,65,88,62,90,84
76,82,81,36,91,65
28,51,81,87,65,85
41,53,80,87,68,84
49,64,82,87,63,82
78,85,87,36,90,45
83,80,85,45,87,84
83,90,50,71,81,69
62,79,42,82,80,75
72,86,63,70,90,66
69,81,86,77,83,71
59,77,56,89,72,77
46,60,68,89,58,85
81,65,81,48,87,92
70,77,61,82,77,82
80,81,88,78,82,82
80,81,81,38,90,60
86,77,79,46,84,73
84,70,85,52,80,73
71,83,85,80,84,72
50,72,63,86,68,80
76,79,93,30,88,60
76,83,80,54,91,67
69,78,67,85,77,83
78,79,77,59,89,78
84,84,80,52,87,72
80,82,84,35,88,63
84,76,85,43,86,82
86,70,66,51,75,79
81,84,79,51,86,86
74,87,63,52,87,53
83,82,82,30,85,79
78,80,84,48,90,83
78,84,87,39,87,55
80,85,65,73,86,72
84,84,73,47,85,63
58,69,64,86,71,80
63,76,92,80,78,82
85,75,89,35,79,69
75,85,70,79,81,80
54,72,53,86,71,78
84,79,83,43,86,69
41,64,72,87,69,79
59,60,73,84,68,87
71,78,95,76,84,78
84,79,90,43,85,77
81,72,84,48,85,84
82,81,82,41,84,63
62,69,67,87,74,83
79,80,68,79,81,86
67,86,55,73,81,73
54,78,80,81,80,80
69,80,79,80,80,76
70,81,77,83,80,76
76,86,60,57,85,59
81,85,69,43,85,76
84,77,82,39,88,70
78,80,84,56,87,57
86,84,75,40,86,67
83,82,85,58,85,83
85,79,82,35,86,63
55,69,50,85,70,87
79,76,86,58,87,79
61,71,58,85,67,78
63,82,73,80,77,72
62,75,66,83,73,82
74,83,66,78,78,81
75,80,77,79,86,79
82,80,85,34,88,50
84,81,78,67,80,78
69,81,87,79,84,58
87,78,65,34,79,77
78,79,82,45,84,66
35,57,64,87,56,76
71,76,93,77,81,82
