FullName,PhotoUrl,ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
Lionel Messi,https://cdn.sofifa.com/players/158/023/22_60.png,92,91,85,34,95,65,RW
Robert Lewandowski,https://cdn.sofifa.com/players/188/545/22_60.png,92,79,78,44,85,82,ST
C. Ronaldo dos Santos Aveiro,https://cdn.sofifa.com/players/020/801/22_60.png,94,80,87,34,87,75,ST
Kylian Mbappé,https://cdn.sofifa.com/players/231/747/22_60.png,88,80,97,36,92,77,ST
Jan Oblak,https://cdn.sofifa.com/players/200/389/22_60.png,92,78,87,52,90,90,GK
Kevin De Bruyne,https://cdn.sofifa.com/players/192/985/22_60.png,86,93,76,64,88,78,CM
Neymar da Silva Santos Jr.,https://cdn.sofifa.com/players/190/871/22_60.png,83,86,91,37,94,63,LW
N'Golo Kanté,https://cdn.sofifa.com/players/215/914/22_60.png,66,75,78,87,81,83,CDM
Harry Kane,https://cdn.sofifa.com/players/202/126/22_60.png,91,83,70,47,82,83,ST
Marc-André ter Stegen,https://cdn.sofifa.com/players/192/448/22_60.png,85,88,88,45,90,88,GK
Manuel Neuer,https://cdn.sofifa.com/players/167/495/22_60.png,88,91,88,57,88,89,GK
Heung Min Son,https://cdn.sofifa.com/players/200/104/22_60.png,87,82,88,43,86,69,LM
Carlos Henrique Venancio Casimiro,https://cdn.sofifa.com/players/200/145/22_60.png,73,76,65,86,72,90,CDM
Karim Benzema,https://cdn.sofifa.com/players/165/153/22_60.png,86,81,76,39,87,77,CF
Thibaut Courtois,https://cdn.sofifa.com/players/192/119/22_60.png,89,74,84,48,88,86,GK
Sadio Mané,https://cdn.sofifa.com/players/208/722/22_60.png,83,80,91,44,90,77,LW
Virgil van Dijk,https://cdn.sofifa.com/players/203/376/22_60.png,60,71,78,91,71,84,CB
Gianluigi Donnarumma,https://cdn.sofifa.com/players/230/621/22_60.png,83,79,91,53,90,85,GK
Mohamed Salah,https://cdn.sofifa.com/players/209/331/22_60.png,87,81,90,45,90,75,RW
Ederson Santana de Moraes,https://cdn.sofifa.com/players/210/257/22_60.png,82,93,87,63,88,88,GK
Joshua Kimmich,https://cdn.sofifa.com/players/212/622/22_60.png,73,86,70,83,84,79,CDM
Alisson Ramses Becker,https://cdn.sofifa.com/players/212/831/22_60.png,86,84,86,51,89,90,GK
Romelu Lukaku,https://cdn.sofifa.com/players/192/505/22_60.png,87,74,84,39,78,83,ST
Sergio Ramos García,https://cdn.sofifa.com/players/155/862/22_60.png,70,76,70,88,73,84,CB
Luis Suárez,https://cdn.sofifa.com/players/176/580/22_60.png,90,82,72,47,83,83,ST
Toni Kroos,https://cdn.sofifa.com/players/182/521/22_60.png,81,91,53,71,81,68,CM
Erling Haaland,https://cdn.sofifa.com/players/239/085/22_60.png,91,65,89,45,80,88,ST
Keylor Navas,https://cdn.sofifa.com/players/193/041/22_60.png,84,75,89,53,89,87,GK
Bruno Miguel Borges Fernandes,https://cdn.sofifa.com/players/212/198/22_60.png,86,89,75,70,84,77,CAM
Raheem Sterling,https://cdn.sofifa.com/players/202/652/22_60.png,82,79,91,45,88,66,LW
Marco Verratti,https://cdn.sofifa.com/players/199/556/22_60.png,61,87,64,79,91,67,CM
Luka Modrić,https://cdn.sofifa.com/players/177/003/22_60.png,76,89,73,72,88,66,CM
Ángel Di María,https://cdn.sofifa.com/players/183/898/22_60.png,81,86,83,48,88,69,RW
Wojciech Szczęsny,https://cdn.sofifa.com/players/186/153/22_60.png,82,73,86,49,88,87,GK
Thomas Müller,https://cdn.sofifa.com/players/189/596/22_60.png,84,83,67,56,79,71,CAM
Ciro Immobile,https://cdn.sofifa.com/players/192/387/22_60.png,87,67,86,39,81,77,ST
Paul Pogba,https://cdn.sofifa.com/players/195/864/22_60.png,81,86,71,65,86,83,CM
Leon Goretzka,https://cdn.sofifa.com/players/209/658/22_60.png,82,82,81,81,84,86,CM
Marcos Aoás Corrêa,https://cdn.sofifa.com/players/207/865/22_60.png,53,75,81,89,73,81,CB
Paulo Dybala,https://cdn.sofifa.com/players/211/110/22_60.png,86,86,84,40,91,60,CAM
Andrew Robertson,https://cdn.sofifa.com/players/216/267/22_60.png,61,81,84,82,81,76,LB
Frenkie de Jong,https://cdn.sofifa.com/players/228/702/22_60.png,69,85,81,77,88,78,CM
Trent Alexander-Arnold,https://cdn.sofifa.com/players/231/281/22_60.png,68,88,79,80,80,72,RB
Rúben Santos Gato Alves Dias,https://cdn.sofifa.com/players/239/818/22_60.png,38,65,61,88,67,88,CB
Sergio Agüero,https://cdn.sofifa.com/players/153/079/22_60.png,89,75,71,33,87,69,ST
Hugo Lloris,https://cdn.sofifa.com/players/167/948/22_60.png,83,65,88,62,90,84,GK
Jadon Sancho,https://cdn.sofifa.com/players/233/049/22_60.png,76,82,81,36,91,65,CAM
Kalidou Koulibaly,https://cdn.sofifa.com/players/201/024/22_60.png,28,51,81,87,65,85,CB
Milan Škriniar,https://cdn.sofifa.com/players/232/363/22_60.png,41,53,80,87,68,84,CB
Raphaël Varane,https://cdn.sofifa.com/players/201/535/22_60.png,49,64,82,87,63,82,CB
Lorenzo Insigne,https://cdn.sofifa.com/players/198/219/22_60.png,78,85,87,36,90,45,LW
Koen Casteels,https://cdn.sofifa.com/players/192/984/22_60.png,83,80,85,45,87,84,GK
Daniel Parejo Muñoz,https://cdn.sofifa.com/players/189/513/22_60.png,83,90,50,71,81,69,CM
Sergio Busquets Burgos,https://cdn.sofifa.com/players/189/511/22_60.png,62,79,42,82,80,75,CDM
Thiago Alcântara,https://cdn.sofifa.com/players/189/509/22_60.png,72,86,63,70,90,66,CM
Jordi Alba Ramos,https://cdn.sofifa.com/players/189/332/22_60.png,69,81,86,77,83,71,LB
Mats Hummels,https://cdn.sofifa.com/players/178/603/22_60.png,59,77,56,89,72,77,CB
Giorgio Chiellini,https://cdn.sofifa.com/players/138/956/22_60.png,46,60,68,89,58,85,CB
Samir Handanovič,https://cdn.sofifa.com/players/162/835/22_60.png,81,65,81,48,87,92,GK
Rodrigo Hernández Cascante,https://cdn.sofifa.com/players/231/866/22_60.png,70,77,61,82,77,82,CDM
Marcos Llorente Moreno,https://cdn.sofifa.com/players/226/161/22_60.png,80,81,88,78,82,82,CAM
Riyad Mahrez,https://cdn.sofifa.com/players/204/485/22_60.png,80,81,81,38,90,60,RW
Gerard Moreno Balagueró,https://cdn.sofifa.com/players/208/093/22_60.png,86,77,79,46,84,73,ST
Jamie Vardy,https://cdn.sofifa.com/players/208/830/22_60.png,84,70,85,52,80,73,ST
João Pedro Cavaco Cancelo,https://cdn.sofifa.com/players/210/514/22_60.png,71,83,85,80,84,72,RB
Aymeric Laporte,https://cdn.sofifa.com/players/212/218/22_60.png,50,72,63,86,68,80,CB
Kingsley Coman,https://cdn.sofifa.com/players/213/345/22_60.png,76,79,93,30,88,60,LM
Bernardo Mota Carvalho e Silva,https://cdn.sofifa.com/players/218/667/22_60.png,76,83,80,54,91,67,CAM
Fábio Henrique Tavares,https://cdn.sofifa.com/players/209/499/22_60.png,69,78,67,85,77,83,CDM
Roberto Firmino Barbosa de Oliveira,https://cdn.sofifa.com/players/201/942/22_60.png,78,79,77,59,89,78,CF
Antoine Griezmann,https://cdn.sofifa.com/players/194/765/22_60.png,84,84,80,52,87,72,CAM
Eden Hazard,https://cdn.sofifa.com/players/183/277/22_60.png,80,82,84,35,88,63,LW
Péter Gulácsi,https://cdn.sofifa.com/players/185/122/22_60.png,84,76,85,43,86,82,GK
Edinson Cavani,https://cdn.sofifa.com/players/179/813/22_60.png,86,70,66,51,75,79,ST
Yann Sommer,https://cdn.sofifa.com/players/177/683/22_60.png,81,84,79,51,86,86,GK
David Josué Jiménez Silva,https://cdn.sofifa.com/players/168/542/22_60.png,74,87,63,52,87,53,CAM
Memphis Depay,https://cdn.sofifa.com/players/202/556/22_60.png,83,82,82,30,85,79,CF
Kasper Schmeichel,https://cdn.sofifa.com/players/163/587/22_60.png,78,80,84,48,90,83,GK
Alejandro Gómez,https://cdn.sofifa.com/players/143/076/22_60.png,78,84,87,39,87,55,CAM
İlkay Gündoğan,https://cdn.sofifa.com/players/186/942/22_60.png,80,85,65,73,86,72,CM
