ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
92,91,85,34,95,65,RW
92,79,78,44,85,82,ST
94,80,87,34,87,75,ST
88,80,97,36,92,77,ST
92,78,87,52,90,90,GK
86,93,76,64,88,78,CM
83,86,91,37,94,63,LW
66,75,78,87,81,83,CDM
91,83,70,47,82,83,ST
85,88,88,45,90,88,GK
88,91,88,57,88,89,GK
87,82,88,43,86,69,LM
73,76,65,86,72,90,CDM
86,81,76,39,87,77,CF
89,74,84,48,88,86,GK
83,80,91,44,90,77,LW
60,71,78,91,71,84,CB
83,79,91,53,90,85,GK
87,81,90,45,90,75,RW
82,93,87,63,88,88,GK
73,86,70,83,84,79,CDM
86,84,86,51,89,90,GK
87,74,84,39,78,83,ST
70,76,70,88,73,84,CB
90,82,72,47,83,83,ST
81,91,53,71,81,68,CM
91,65,89,45,80,88,ST
84,75,89,53,89,87,GK
86,89,75,70,84,77,CAM
82,79,91,45,88,66,LW
61,87,64,79,91,67,CM
76,89,73,72,88,66,CM
81,86,83,48,88,69,RW
82,73,86,49,88,87,GK
84,83,67,56,79,71,CAM
87,67,86,39,81,77,ST
81,86,71,65,86,83,CM
82,82,81,81,84,86,CM
53,75,81,89,73,81,CB
86,86,84,40,91,60,CAM
61,81,84,82,81,76,LB
69,85,81,77,88,78,CM
68,88,79,80,80,72,RB
38,65,61,88,67,88,CB
89,75,71,33,87,69,ST
83,65,88,62,90,84,GK
76,82,81,36,91,65,CAM
28,51,81,87,65,85,CB
41,53,80,87,68,84,CB
49,64,82,87,63,82,CB
78,85,87,36,90,45,LW
83,80,85,45,87,84,GK
83,90,50,71,81,69,CM
62,79,42,82,80,75,CDM
72,86,63,70,90,66,CM
69,81,86,77,83,71,LB
59,77,56,89,72,77,CB
46,60,68,89,58,85,CB
81,65,81,48,87,92,GK
70,77,61,82,77,82,CDM
80,81,88,78,82,82,CAM
80,81,81,38,90,60,RW
86,77,79,46,84,73,ST
84,70,85,52,80,73,ST
71,83,85,80,84,72,RB
50,72,63,86,68,80,CB
76,79,93,30,88,60,LM
76,83,80,54,91,67,CAM
69,78,67,85,77,83,CDM
78,79,77,59,89,78,CF
84,84,80,52,87,72,CAM
80,82,84,35,88,63,LW
84,76,85,43,86,82,GK
86,70,66,51,75,79,ST
81,84,79,51,86,86,GK
74,87,63,52,87,53,CAM
83,82,82,30,85,79,CF
78,80,84,48,90,83,GK
78,84,87,39,87,55,CAM
80,85,65,73,86,72,CM
84,84,73,47,85,63,CAM
58,69,64,86,71,80,CB
63,76,92,80,78,82,RB
85,75,89,35,79,69,ST
75,85,70,79,81,80,CM
54,72,53,86,71,78,CB
84,79,83,43,86,69,RM
41,64,72,87,69,79,CB
59,60,73,84,68,87,CB
71,78,95,76,84,78,RB
84,79,90,43,85,77,CAM
81,72,84,48,85,84,ST
82,81,82,41,84,63,LW
62,69,67,87,74,83,CB
79,80,68,79,81,86,CM
67,86,55,73,81,73,CM
54,78,80,81,80,80,RB
69,80,79,80,80,76,LB
70,81,77,83,80,76,CB
76,86,60,57,85,59,CAM
81,85,69,43,85,76,LW
84,77,82,39,88,70,CF
78,80,84,56,87,57,CAM
86,84,75,40,86,67,CAM
83,82,85,58,85,83,GK
85,79,82,35,86,63,ST
55,69,50,85,70,87,CB
79,76,86,58,87,79,GK
61,71,58,85,67,78,CB
63,82,73,80,77,72,RB
62,75,66,83,73,82,CDM
74,83,66,78,78,81,CDM
75,80,77,79,86,79,CM
82,80,85,34,88,50,CF
84,81,78,67,80,78,CM
69,81,87,79,84,58,RB
87,78,65,34,79,77,ST
78,79,82,45,84,66,CAM
35,57,64,87,56,76,CB
71,76,93,77,81,82,LB
79,86,63,71,80,72,CM
76,83,80,46,88,64,CAM
83,82,83,38,87,79,CAM
81,79,90,38,85,68,ST
71,79,78,75,86,78,CM
74,82,76,79,87,82,LB
74,80,69,79,79,78,CDM
84,69,74,45,83,77,ST
74,74,78,82,79,87,CDM
54,79,79,81,80,80,LB
58,72,62,86,65,79,CB
41,58,61,85,61,84,CB
81,78,88,45,86,67,LM
77,82,88,68,83,80,LM
76,87,78,50,84,65,RW
77,85,75,76,88,58,LB
67,78,83,80,82,75,RB
81,70,91,35,83,70,ST
81,85,83,50,86,84,GK
45,57,72,86,58,80,CB
49,55,68,84,63,87,CB
51,71,70,84,74,78,CB
71,77,72,80,81,79,CDM
85,79,73,42,80,86,ST
80,72,82,31,81,77,ST
83,65,69,36,77,69,ST
64,73,92,78,81,71,LWB
83,75,81,48,84,83,GK
82,76,72,47,81,82,ST
50,62,63,86,63,83,CB
25,44,81,85,61,81,CB
43,68,75,84,63,84,CB
50,73,72,84,66,79,CB
72,75,59,84,77,75,CDM
82,78,80,31,84,67,RW
72,81,61,82,78,79,CDM
83,78,85,56,83,81,GK
55,64,67,85,58,78,CB
83,72,66,45,78,76,ST
55,70,58,86,66,77,CB
80,79,85,56,84,74,CF
55,76,66,84,72,76,CB
76,82,81,51,87,61,CAM
80,85,83,67,82,71,CAM
78,69,85,41,87,83,GK
65,77,81,78,79,79,LB
80,76,85,56,85,83,GK
78,87,83,48,86,80,GK
45,64,81,84,72,78,CB
84,78,81,63,83,84,LW
42,68,81,83,69,86,CB
46,68,58,85,68,78,CB
69,83,70,69,88,70,CM
79,76,82,40,86,68,CAM
74,78,86,77,79,80,CM
81,74,91,48,86,73,CAM
82,78,83,34,84,81,GK
79,84,74,55,83,65,CAM
77,77,93,36,87,56,LM
81,72,84,39,87,73,ST
67,83,69,72,88,70,CM
77,83,88,35,84,72,RM
52,69,85,81,79,75,RWB
64,76,92,78,80,84,LWB
75,77,90,76,88,72,RB
78,81,74,82,82,81,CM
81,61,80,35,78,84,ST
75,74,82,77,79,81,LWB
76,82,82,59,87,63,CAM
71,76,60,81,76,82,CDM
83,78,85,49,88,74,CAM
71,82,69,80,81,84,CM
86,76,71,30,86,71,ST
71,82,78,76,84,70,LM
54,68,77,84,70,79,CB
80,81,82,43,83,62,CAM
83,59,63,52,69,86,ST
61,77,83,79,80,73,LWB
67,71,96,75,83,75,LB
77,76,82,47,84,85,GK
78,73,83,53,84,80,ST
46,52,76,83,60,84,CB
61,66,80,78,72,89,RB
76,76,91,49,85,72,LM
82,68,84,29,79,69,ST
79,78,82,35,82,66,CAM
72,79,64,66,83,67,CM
83,58,78,35,79,76,ST
72,81,71,69,88,72,CAM
72,74,64,82,74,85,CDM
50,69,83,83,71,82,CB
84,77,79,42,78,83,GK
38,67,72,84,69,80,CB
78,74,81,55,85,80,GK
76,81,67,50,86,60,CAM
43,56,78,85,64,79,CB
70,73,89,37,87,59,RM
53,77,76,78,78,75,LWB
78,84,75,54,84,60,CAM
42,59,65,83,49,81,CB
73,82,83,77,78,73,LB
83,81,80,52,83,75,CAM
76,80,78,71,82,79,CM
73,74,94,50,86,52,RM
47,63,77,81,67,83,CB
83,75,86,48,82,80,LM
51,60,80,82,60,87,CB
72,79,61,79,77,79,CM
78,74,93,33,84,64,LM
